"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"63",0,0,"Fantastic Journey to Oz","The cunning and wicked Urfin wants to become ruler of Magic Land. With an army of wooden soldiers, he captures the Emerald City and renames it ti Urfinville. He is all but ready to celebrate victory, when his plans are ruined by an ordinary girl named Dorothy, who arrives in Magic Land just at the right time. She must return home, but not before she helps her friends - the Scarecrow, the Tin Man, and new-brave Lion - defeat Urfin. And in order to do that, they need to find out who he really is.",7.416026,2,"2017-04-20","Released",82,"Melnitsa Animation Studio, CTB Film Company, ","Russia, "
"64",0,0,"Black Dog, Red Dog","Follows the life of Stephen Dobyns as he deals with life, women, and his move from journalism to poetry.",0.892269,2,"2017-04-05","Post Production",85,"Hello Please, Black Dog, Red Dog, Elysium Bandini Studios, ","United States of America, "
"65",60000000,197183546,"Smurfs: The Lost Village","In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest leading to the discovery of the biggest secret in Smurf history.",11.256986,490,"2017-03-23","Released",89,"Kerner Entertainment Company, Columbia Pictures, Sony Pictures Animation, ","United States of America, "
"66",4000,0,"La chica del bañador verde","",0.08122,1,"2017-03-17","Released",NA,"Visuales 2000, ","Spain, "
"67",0,0,"Lou","A Pixar short about a lost-and-found box and the unseen monster within.",6.235845,84,"2017-06-16","Released",6,"Pixar, ","United States of America, "
"68",125000000,498814908,"The Boss Baby","A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",7.946476,3196,"2017-03-23","Released",97,"DreamWorks Animation, 20th Century Fox, ","United States of America, "
"69",0,0,"DAM! The Story of Kit the Beaver","DAM! The Story of Kit the Beaver is an animated film that’s not about your average beaver. It’s the tale of Kit, a very independent (and easily distracted) young beaver who loves to explore the sounds of the forest she lives in. Animated short with original orchestral score performed by The Toronto Symphony Orchestra.",0.047389,0,"2017-02-25","Released",12,"Astronaught Media, ","Canada, "
"70",160000000,1263521126,"Beauty and the Beast","A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.",84.402522,8279,"2017-03-16","Released",129,"Walt Disney Pictures, Mandeville Films, ","United States of America, "
"71",0,0,"Oskar's America","Oskar's deepest wish is to be able to ride on the prairie with his mother over summer break. But alas, everything turns out differently than expected and the 10-year-old is forced to spend his vacation on his grumpy grandfather's farm. Oskar's only friend is the outsider Levi, who talks with his pony. Together they hatch a plan to get away from their grim reality: they’ll row across the Atlantic to America in grandfather's boat!",0.19651,0,"2017-03-24","Released",79,", , ",", , "
"72",0,0,"Beyond the Clouds","Teenager Amir is constantly dodging trouble while dealing drugs in the underbelly of Mumbai. Following a drug bust, he evades the cops and ends up on the doorstep of his estranged sister Tara. Complications from concealing Amir land Tara in jail, but she still sees her brother as her only hope of living in the outside world again. While their lives have been darkened by despair, hope may shine from beyond the clouds.",2.507486,3,"2018-04-20","Released",120,"Namah Pictures, ","Iran, India, "
"73",80000000,311950384,"The Lego Batman Movie","In the irreverent spirit of fun that made “The Lego Movie” a worldwide phenomenon, the self-described leading man of that ensemble—Lego Batman—stars in his own big-screen adventure. But there are big changes brewing in Gotham, and if he wants to save the city from The Joker’s hostile takeover, Batman may have to drop the lone vigilante thing, try to work with others and maybe, just maybe, learn to lighten up.",14.212794,2102,"2017-02-08","Released",104,"Lin Pictures, Warner Bros. Animation, Animal Logic, DC Entertainment, Lord Miller, LEGO System A/S, Warner Bros. Pictures, ","Denmark, United States of America, "
"74",0,0,"TRIO - The Hunt for the Holy Shrine","Multicuentas de Bravier: Tazzita, Paraleyeng, Scoobitops, betelchuse, rusakyra82, Fruititop, rorywilliams, DjVerneda, javi3381, francisgar, hipnos22, alex_dj_, juanchuloperron, akyra, juananlo, frvico...",0.70886,4,"2017-02-17","Released",77,"NordicStories AS, ","Norway, "
"75",0,0,"Subdued","After her divorce Mina is in need to financial and emotional supporting. She meets a guy and thinks that this is the man of her dreams. But things are not just as their first seem to be.",0.160927,3,"2017-02-01","Released",90,", , ","Iran, "
"76",0,0,"Stonehead","10-year-old Shi Tou, the son of a migrant laborer, grows up alone with his grandmother. Sharing a reward with a classmate or waiting until his father returns, obeying his teacher or protecting his friend - which one should he choose?",0.112233,2,"2017-02-01","Released",90,", , ","China, "
"77",0,0,"Rabbit School","Rabbit Max, a juvenile shoplifter, gets trapped in an old-fashioned school. With rabbit girl Emmy, he acquires Easter Rabbits' secret skills, battles a sneaky fox family and learns about friendship.",0.637042,3,"2017-03-16","Released",79,"Virgin Lands Animated Pictures, Norddeutscher Rundfunk, Akkord Film Produktion GmbH, ","Germany, "
"78",0,0,"Tesoros","Siblings Dylan and Andrea set off with their new friends on a marvelous journey of discovery in search of long lost pirate loot.",0.088042,0,"2017-02-01","Released",90,", , ",", , "
"79",0,0,"Ghostbrothers","How do you know that someone is a ghost? You can't see his legs.",0.041353,0,"2017-01-31","Released",68,"Swedish Film Institute, Zvonko Produktion, ","Austria, Croatia, Germany, Sweden, "
"80",0,0,"Bitch","The provocative tale of a woman who snaps under crushing life pressures and assumes the psyche of a vicious dog. Her philandering, absentee husband is forced to become reacquainted with his four children and sister-in-law as they attempt to keep the family together during this bizarre crisis.",4.237536,17,"2017-01-20","Released",93,"SpectreVision, Marvista Entertainment, ","United States of America, "
"81",0,0,"Red Dog: True Blue","Explores the early events leading up to Red Dog's discovery on the road to Dampier, and his ultimate rise from ordinary dog to Australian legend.",3.943586,29,"2016-12-26","Released",88,"Woss Group Film Productions, ","Australia, "
"82",0,0,"Survival Family","A world wide electrical outage occurs. Everything that requires electricity comes to a stop. Tokyo is nearly ruined. Yoshiyuki Suzuki (Fumiyo Kohinata) decides to escape from Tokyo with his family.",1.264761,8,"2017-02-11","Released",117,"Altamira Pictures Inc., Dentsu Inc., Toho Company, Ltd., Fuji Television Network, ","Japan, "
"83",0,0,"Christmas with the Andersons","Drowning in tinsel and lights every Christmas, Michael and Caroline Anderson throw the year’s biggest party at their house. But this year, with Michael jobless and Caroline’s store struggling, that tradition may end. The Andersons decide to host a very different kind of party and, in the process, rediscover what’s most important about the holiday.",0.07922,1,"2016-12-09","Released",90,"Marvista Entertainment, ION Television, ","United States of America, "
"84",0,0,"I'll Be Home for Christmas","Jackie Foster, a dynamic Assistant District Attorney and single mom, is looking forward to wrapping up her latest case and spending Christmas with Gracie, her adorable and precocious, eight-year old daughter. But when Jackie’s estranged dad, Jack , a gruff retired police officer, unexpectedly shows up at her door, they will be forced to confront old wounds.",2.114651,24,"2016-11-27","Released",84,", , ",", , "
"85",0,0,"Boxing Day: A Day After Christmas","Money is not necessarily the key to happiness. It can easily be considered man's worst downfall. Michael Adeyemi was destined to be a billionaire by the age of 35 and with money comes access to the fine things of life. Find out how Michael's desperate quest for fortune and success would cost him the number one thing money cannot buy - Family. Blinded by selfish ambitions, pride and appetite for greed leads him down a path of self-destruction, blinding him to the only thing that is worth saving. It all comes crashing down on ""Boxing Day"" where Michael is swept under a sea of adversities caused by none other than himself. Watch this downpour of self-inflicted wave of adversities with rippling effects that triggers thought provoking questions, of love, pain, pride and ultimate redemption - what if you never get that second chance?",2.688612,0,"2017-02-12","Released",114,"Prime International Productions, Gifted Gift Studios, ","Nigeria, "
"86",150000000,643331111,"Moana","In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",5.596225,4848,"2016-11-23","Released",107,"Walt Disney Pictures, Walt Disney Animation Studios, ","United States of America, "
"87",180000000,809342332,"Fantastic Beasts and Where to Find Them","In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",30.684299,8159,"2016-11-16","Released",133,"Heyday Films, Warner Bros. Pictures, ","United Kingdom, "
"88",0,0,"The Geneva Convention","As Hakim is waiting for the bus after class, he is caught in a vendetta between teenagers. He is not exactly keen to get into a fight, but how can he possibly avoid an awaited confrontation?",0.04943,0,"2016-11-04","Released",15,"Année Zéro, Région Lorraine, Centre National de la Cinématographie, ","France, "
"89",0,0,"Loewie","One quiet autumn evening, Elisa gets a surprise visit from her grandfather. He tells her an enchanting Saint-Nicolas story...",0.073844,1,"2016-10-29","Released",48,"Penthouse Productions, ","Belgium, "
"90",0,0,"Shed Skin Papa","As a director faces a series of setbacks in life including debt and divorce, his elderly father suddenly regains his youth.",0.173016,0,"2016-12-16","Released",101,"Shaw Brothers, ","Hong Kong, "
